vendor,product_url,product_name,variant,status,price_type,amount_0,price_0,amount_1,price_1,amount_2,price_2,amount_3,price_3,amount_4,price_4,amount_5,price_5,amount_6,price_6,amount_7,price_7,amount_8,price_8
HF,https://www.highflyers.de/product_info.php/products_id/154891,Outdoor Tasse - weiß,-,-,base_price,1,4.42,72,4.42,108,4.33,250,4.20,500,3.96,650,anfrage,,,,,,
GF,https://www.giffits.de/vernon-tasse-aus-keramik-360-ml-werbegeschenke-442654.htm,VERNON. Tasse aus Keramik 360 ml,,-,base_price,1,"2,18",4,"2,18",108,"2,13",252,"2,11",504,"2,09",756,"2,05",1008,"2,02",2502,2,5004,"1,98"
BD,https://www.brandible.de/lagerfeuer-tasse.html,"Campfire 475 ml Tasse, EXPRESS",-,-,base_price,5,8.34,10,6.95,25,5.56,50,5.00,125,4.17,250,4.06,350,4.00,500,3.89,800,3.78
PS,https://www.promostore.de/keramiktasse-fuellvermoegen-350ml-524005.html,"Keramiktasse, Füllvermögen 350ml",-,available,base_price,1,2.28,50,2.93,100,2.6,250,2.6,500,2.28,,,,,,,,
